t_N1000,I_N1000,t_N2500,I_N2500,t_N5000,I_N5000,t_N7500,I_N7500,t_N10000,I_N10000,t_N12500,I_N12500,t_N15000,I_N15000,t_N20000,I_N20000
1.54,0.0008061310424308729,0.616,0.0003280978050725332,0.308,0.00024314120078124186,0.20533333333333334,0.00022002712398217172,0.154,0.00020930756941064528,0.1232,0.00020312815589101238,0.10266666666666667,0.00019911022909850157,0.077,0.0001941993911342226
1.56,0.0008219684061462721,0.624,0.00033066151972816046,0.312,0.00024408931646359598,0.208,0.00022059874636309716,0.156,0.00020971526859631752,0.12480000000000001,0.0002034446250395824,0.104,0.00019936870365837685,0.078,0.0001943884354523294
1.58,0.0008381168268806653,0.632,0.00033324526472250214,0.316,0.0002450411289717834,0.21066666666666667,0.00022117185368959223,0.158,0.0002101237618626972,0.1264,0.00020376158720690035,0.10533333333333333,0.00019962751373440408,0.079,0.0001945776637847105
1.6,0.0008545824105993817,0.64,0.0003358491965183201,0.32,0.0002459966527178702,0.21333333333333332,0.00022174644981864562,0.16,0.00021053305075621073,0.128,0.00020407904316092343,0.10666666666666666,0.00019988665976204724,0.08,0.00019476707631046035
1.62,0.0008713713829907342,0.648,0.00033847347280000905,0.324,0.0002469559021700917,0.216,0.0002223225386172608,0.162,0.0002109431368262941,0.1296,0.00020439699367080476,0.108,0.00020014614217733385,0.081,0.00019495667320884897
1.6400000000000001,0.0008884900918081036,0.656,0.00034111825248313104,0.328,0.0002479188918530674,0.21866666666666665,0.00022290012396248402,0.164,0.00021135402162540115,0.1312,0.00020471543950689532,0.10933333333333332,0.00020040596141685925,0.082,0.0001951464546593198
1.6600000000000001,0.0009059450092576531,0.664,0.00034378369572401194,0.332,0.0002488856363480229,0.22133333333333333,0.00022347920974142606,0.166,0.00021176570670900768,0.1328,0.00020503438144074562,0.11066666666666666,0.00020066611791778405,0.083,0.00019533642084149073
1.68,0.0009237427344325013,0.672,0.00034646996392942447,0.336,0.00024985615029300955,0.224,0.00022405979985129368,0.168,0.00021217819363561832,0.13440000000000002,0.00020535382024510762,0.112,0.00020092661211783624,0.084,0.0001955265719351554
1.7,0.0009418899957942995,0.68,0.0003491772197663437,0.34,0.000250830448383127,0.22666666666666666,0.00022464189819941137,0.17,0.00021259148396677108,0.136,0.00020567375669393708,0.11333333333333333,0.0002011874444553119,0.085,0.00019571690812028206
1.72,0.0009603936537030773,0.6880000000000001,0.0003519056271717727,0.34400000000000003,0.0002518085453707429,0.22933333333333333,0.00022522550870325136,0.17200000000000001,0.00021300557926704421,0.1376,0.00020599419156239348,0.11466666666666667,0.00020144861536907583,0.08600000000000001,0.0001959074295770136
1.74,0.0009792607029963367,0.6960000000000001,0.00035465535136265343,0.34800000000000003,0.0002527904560657193,0.23199999999999998,0.00022581063529045523,0.17400000000000002,0.00021342048110406273,0.13920000000000002,0.00020631512562684602,0.11599999999999999,0.00020171012529856223,0.08700000000000001,0.00019609813648566852
1.76,0.0009984982756182904,0.704,0.000357426558845849,0.352,0.00025377619533563183,0.23466666666666666,0.00022639728189886588,0.176,0.00021383619104850323,0.1408,0.00020663655966486993,0.11733333333333333,0.00020197197468377548,0.088,0.00019628902902674072
1.78,0.0010181136433002665,0.712,0.00036021941742820284,0.356,0.00025476577810600026,0.2373333333333333,0.00022698545247654963,0.178,0.0002142527106741007,0.1424,0.00020695849445525425,0.11866666666666666,0.00020223416396529054,0.089,0.0001964801073808993
1.8,0.001038114220293197,0.72,0.00036303409622668264,0.36,0.0002557592193605092,0.24,0.00022757515098182477,0.18,0.00021467004155765283,0.14400000000000002,0.00020728093077799773,0.12,0.00020249669358425514,0.09,0.00019667137172899038
